,"ukr","en","NOTES – use \n for newline","max length"
"biome_ending_placeholder","Master Symbol Crypt","Master Symbol Crypt",,
"biome_excavationsite","Coal Pits","Coal Pits",,
"biome_fungicave","Fungal Caverns","Fungal Caverns",,
"biome_gold","Gold","Gold",,
"biome_lake","Lake","Lake",,
"biome_lava","Volcanic Lake","Volcanic Lake",,
"biome_lavacave","Volcanic Cave","Volcanic Cave",,
"biome_magic_gate","Sanctuary","Sanctuary",,
"biome_null","unknown","unknown",,
"biome_pyramid","Pyramid","Pyramid",,
"biome_rainforest","Underground Jungle","Underground Jungle",,
"biome_sandcave","Sandcave","Sandcave",,
"biome_secret_entrance","Mysterious Gate","Mysterious Gate",,
"biome_shop_room","Secret Shop","Secret Shop",,
"biome_snowcastle","Hiisi Base","Hiisi Base",,
"biome_snowcave","Snowy Depths","Snowy Depths",,
"biome_town_under","twisty passages","twisty passages",,
"biome_vault","The Vault","The Vault",,
"biome_wandcave","magical temple","magical temple",,
"biome_water","water","water",,
"biome_winter","snowy wasteland","snowy wasteland",,
"biome_holymountain","Holy Mountain","Holy Mountain","This is a reference to the Jodorowsky film 'Holy Mountain'",
"biome_east","East $0","East $0",,
"biome_west","West $0","West $0",,
"animal_player","Minä","Minä","doesn't need to be translated",
"animal_boss_centipede_minion","Kolmisilmän apuri","Kolmisilmän apuri","doesn't need to be translated",
"animal_boss_limbs","Kolmisilmän koipi","Kolmisilmän koipi","doesn't need to be translated",
"animal_boss_dragon_endcrystal","Mato","Mato","doesn't need to be translated",
"animal_lukki","Hämähäkki","Hämähäkki","doesn't need to be translated",
"animal_lukki_creepy","Kasvoton Hämähäkki","Kasvoton Hämähäkki","doesn't need to be translated",
"animal_lukki_creepy_long","Kasvoton Lukki","Kasvoton Lukki","doesn't need to be translated",
"animal_lukki_longleg","Lukki","Lukki","doesn't need to be translated",
"animal_acidshooter","Happonuljaska","Happonuljaska","doesn't need to be translated",
"animal_alchemist","Puistokemisti","Puistokemisti","doesn't need to be translated",
"animal_ant","Murkku","Murkku","doesn't need to be translated",
"animal_assassin","Salamurhaajarobotti","Salamurhaajarobotti","doesn't need to be translated",
"animal_barfer","Turvonnu velho","Turvonnu velho","doesn't need to be translated",
"animal_bat","Lepakko","Lepakko","doesn't need to be translated",
"animal_bigbat","Suurlepakko","Suurlepakko","doesn't need to be translated",
"animal_bigfirebug","Suurtulikärpänen","Suurtulikärpänen","doesn't need to be translated",
"animal_bigzombie","Mätänevä ruumis","Mätänevä ruumis","doesn't need to be translated",
"animal_bigzombiehead","Mätänevä pää","Mätänevä pää","doesn't need to be translated",
"animal_bigzombietorso","Mätänevä kroppa","Mätänevä kroppa","doesn't need to be translated",
"animal_blob","Kiukkumöykky","Kiukkumöykky","doesn't need to be translated",
"animal_bloodcrystal_physics","Verikristalli","Verikristalli","doesn't need to be translated",
"animal_bloom","Puska","Puska","doesn't need to be translated",
"animal_boss_dragon","Suomuhauki","Suomuhauki","doesn't need to be translated",
"animal_chest_mimic","Matkija","Matkija","doesn't need to be translated",
"animal_crystal_physics","Kirottu kristalli","Kirottu kristalli","doesn't need to be translated",
"animal_darkghost","Haamu","Haamu","doesn't need to be translated",
"animal_deer","Nelikoipi","Nelikoipi","doesn't need to be translated",
"animal_drone","Lennokki","Lennokki","doesn't need to be translated",
"animal_drone_physics","Lennokki","Lennokki","doesn't need to be translated",
"animal_duck","Ankka","Ankka","doesn't need to be translated",
"animal_eel","Nahkiainen","Nahkiainen","doesn't need to be translated",
"animal_elk","Poro","Poro","doesn't need to be translated",
"animal_firebug","Pikkutulikärpänen","Pikkutulikärpänen","doesn't need to be translated",
"animal_firemage","Eldari","Eldari","doesn't need to be translated",
"animal_firemage_weak","Stendari","Stendari","doesn't need to be translated",
"animal_fireskull","Liekkiö","Liekkiö","doesn't need to be translated",
"animal_fish","Eväkäs","Eväkäs","doesn't need to be translated",
"animal_fish_large","Suureväkäs","Suureväkäs","doesn't need to be translated",
"animal_flamer","Liekkari","Liekkari","doesn't need to be translated",
"animal_fly","Amppari","Amppari","doesn't need to be translated",
"animal_frog","Konna","Konna","doesn't need to be translated",
"animal_fungus","Laahustussieni","Laahustussieni","doesn't need to be translated",
"animal_gazer","Helvetinkatse","Helvetinkatse","doesn't need to be translated",
"animal_ghost","Houre","Houre","doesn't need to be translated",
"animal_ghoul","Sylkyri","Sylkyri","doesn't need to be translated",
"animal_giant","Hiidenkivi","Hiidenkivi","doesn't need to be translated",
"animal_giantshooter","Äitinuljaska","Äitinuljaska","doesn't need to be translated",
"animal_healerdrone_physics","Korjauslennokki","Korjauslennokki","doesn't need to be translated",
"animal_icer","Jäähdytyslaite","Jäähdytyslaite","doesn't need to be translated",
"animal_iceskull","Jäätiö","Jäätiö","doesn't need to be translated",
"animal_lasershooter","Mulkkio","Mulkkio","doesn't need to be translated",
"animal_longleg","Hämis","Hämis","doesn't need to be translated",
"animal_slimeshooter","Limanuljaska","Limanuljaska","doesn't need to be translated",
"animal_slimeshooter_boss_limbs","Äitilimanuljaska","Äitilimanuljaska","doesn't need to be translated",
"animal_maggot","Toukka","Toukka","doesn't need to be translated",
"animal_mimic_physics","Matkija","Matkija","doesn't need to be translated",
"animal_miner","Tappurahiisi","Tappurahiisi","doesn't need to be translated",
"animal_miner_weak","Tappurahiisiläinen","Tappurahiisiläinen","doesn't need to be translated",
"animal_miner_fire","Tulihiisi","Tulihiisi","doesn't need to be translated",
"animal_miner_santa","Jouluhiisi","Jouluhiisi","doesn't need to be translated",
"animal_mine_scavenger","Miina","Miina","doesn't need to be translated",
"animal_miniblob","Möykky","Möykky","doesn't need to be translated",
"animal_missilecrab","Heinäsirkka","Heinäsirkka","doesn't need to be translated",
"animal_pebble","Lohkare","Lohkare","doesn't need to be translated",
"animal_pebble_player","Toveri lohkare","Toveri lohkare","doesn't need to be translated",
"animal_phantom_a","Spiraalikalma","Spiraalikalma","doesn't need to be translated",
"animal_phantom_b","Kiukkukalma","Kiukkukalma","doesn't need to be translated",
"animal_playerghost","Kummitus","Kummitus","doesn't need to be translated",
"animal_rat","Rotta","Rotta","doesn't need to be translated",
"animal_roboguard","Robottikyttä","Robottikyttä","doesn't need to be translated",
"animal_scavenger_clusterbomb","Isohiisi","Isohiisi","doesn't need to be translated",
"animal_scavenger_grenade","Kranuhiisi","Kranuhiisi","doesn't need to be translated",
"animal_scavenger_heal","Parantajahiisi","Parantajahiisi","doesn't need to be translated",
"animal_scavenger_leader","Toimari","Toimari","doesn't need to be translated",
"animal_scavenger_mine","Miinankylväjä","Miinankylväjä","doesn't need to be translated",
"animal_scavenger_poison","Myrkkyhiisi","Myrkkyhiisi","doesn't need to be translated",
"animal_scavenger_smg","Rynkkyhiisi","Rynkkyhiisi","doesn't need to be translated",
"animal_scorpion","Skorpioni","Skorpioni","doesn't need to be translated",
"animal_sheep","Lammas","Lammas","doesn't need to be translated",
"animal_sheep_bat","Lentolammas","Lentolammas","doesn't need to be translated",
"animal_sheep_fly","Suhiseva lammas","Suhiseva lammas","doesn't need to be translated",
"animal_shooterflower","Plasmakukka","Plasmakukka","doesn't need to be translated",
"animal_shotgunner_weak","Heikko haulikkohiisi","Heikko haulikkohiisi","doesn't need to be translated",
"animal_shotgunner","Haulikkohiisi","Haulikkohiisi","doesn't need to be translated",
"animal_skullfly","Kallokärpänen","Kallokärpänen","doesn't need to be translated",
"animal_skullrat","Kallorotta","Kallorotta","doesn't need to be translated",
"animal_sniper","Snipuhiisi","Snipuhiisi","doesn't need to be translated",
"animal_spitmonster","Helvetin sylkijä","Helvetin sylkijä","doesn't need to be translated",
"animal_statue_physics","Patsas","Patsas","doesn't need to be translated",
"animal_tank","KK-Tankki","KK-Tankki","doesn't need to be translated",
"animal_tank_rocket","IT-Tankki","IT-Tankki","doesn't need to be translated",
"animal_tentacler","Turso","Turso","doesn't need to be translated",
"animal_tentacler_small","Pikkuturso","Pikkuturso","doesn't need to be translated",
"animal_thundermage","Ukko","Ukko","doesn't need to be translated",
"animal_turret","Torjuntalaite","Torjuntalaite","doesn't need to be translated",
"animal_wand_ghost","Taikasauva","Taikasauva","doesn't need to be translated",
"animal_wizard_dark","Sokaisunmestari","Sokaisunmestari","doesn't need to be translated",
"animal_wizard_poly","Muodonmuutosmestari","Muodonmuutosmestari","doesn't need to be translated",
"animal_wizard_tele","Siirtäjämestari","Siirtäjämestari","doesn't need to be translated",
"animal_wolf","Susi","Susi","doesn't need to be translated",
"animal_worm","Mato","Mato","doesn't need to be translated",
"animal_worm_big","Jättimato","Jättimato","doesn't need to be translated",
"animal_worm_end","Helvetinmato","Helvetinmato","doesn't need to be translated",
"animal_worm_skull","Kalmamato","Kalmamato","doesn't need to be translated",
"animal_worm_tiny","Pikkumato","Pikkumato","doesn't need to be translated",
"animal_zombie_weak","Heikkohurtta","Heikkohurtta","doesn't need to be translated",
"animal_zombie","Hurtta","Hurtta","doesn't need to be translated",
"action_burst_2","Double spell","Double spell",,
"actiondesc_burst_2","Simultaneously casts 2 spells","Simultaneously casts 2 spells",,
"action_burst_3","Triple spell","Triple spell",,
"actiondesc_burst_3","Simultaneously casts 3 spells","Simultaneously casts 3 spells",,
"action_burst_4","Quadruple spell","Quadruple spell",,
"actiondesc_burst_4","Simultaneously casts 4 spells","Simultaneously casts 4 spells",,
"action_scatter_2","Double scatter spell","Double scatter spell",,
"actiondesc_scatter_2","Simultaneously casts 2 spells with low accuracy","Simultaneously casts 2 spells with low accuracy",,
"action_scatter_3","Triple scatter spell","Triple scatter spell",,
"actiondesc_scatter_3","Simultaneously casts 3 spells with low accuracy","Simultaneously casts 3 spells with low accuracy",,
"action_scatter_4","Quadruple scatter spell","Quadruple scatter spell",,
"actiondesc_scatter_4","Simultaneously casts 4 spells with low accuracy","Simultaneously casts 4 spells with low accuracy",,
"action_i_shape","Formation - behind your back","Formation - behind your back",,
"actiondesc_i_shape","Casts two spells: one ahead of and one behind the caster","Casts two spells: one ahead of and one behind the caster",,
"action_y_shape","Formation - bifurcated","Formation - bifurcated",,
"actiondesc_y_shape","Casts 2 spells in a bifurcated pattern","Casts 2 spells in a bifurcated pattern",,
"action_t_shape","Formation - above and below","Formation - above and below",,
"actiondesc_t_shape","Casts 3 spells - ahead, above and below the caster","Casts 3 spells - ahead, above and below the caster",,
"action_w_shape","Formation - trifurcated","Formation - trifurcated",,
"actiondesc_w_shape","Casts 3 spells in a trifurcated pattern","Casts 3 spells in a trifurcated pattern",,
