"","ukr","en","NOTES – use \n for newline","max length"
"stat_time","Čas:","Time:","",""
"stat_places_visited","Vidvidanyx miscj:","Places visited:","",""
"stat_enemies_slain","Vbyto voroğiv:","Enemies slain:","",""
"stat_max_hp","Maksymaljne zdorov’ja:","Max HP:","",""
"stat_gold","Zoloto:","Gold:","",""
"stat_items_found","Znajdeno predmetiv:","Items found:","",""
"stat_orbs","Zibrano sfer:","Orbs collected:","",""
"stat_total_deaths","Zağalom smertej:","Total deaths:","",""
"stat_total_play_time","Zağaljnyj čas ğry:","Total play time:","",""
"stat_total_wins","Zağalom peremoğ:","Total wins:","",""
"stat_cause_of_death","Pryčyna smerti: $0","Cause of death: '$0'","",""
"stat_best","(Najbiljše: $0)","(Best: $0)","",""
"credits_music","Z muzykoju vid From Grotto ta Niilo Takalainen","With music by From Grotto and Niilo Takalainen","",""
"credits_sounddesign","Zvukovyj dyzajn Niilo Takalainen","Sound design by Niilo Takalainen","",""
"credits_fmod","Noita vykorystovuje FMOD Studio vid Firelight Technologies Pty Ltd","Noita uses FMOD Studio by Firelight Technologies Pty Ltd","",""
"credits_copyright","Noita (c) Nolla Games Oy 2019","Noita (c) Nolla Games Oy 2019","",""
"progress_perks","Zdibnosti","Perks","",""
"progress_actions","Zaklynannja","Spells","",""
"progress_secrets","Sekrety","Secrets","",""
"progress_enemies","Voroğy","Enemies","",""
"progress_unlocked","Rozblokovano","Unlocks","",""
"progress_completed","Sekretiv znajdeno: $0 $1","$0 $1 secret(s) found","",""
"progress_kills","Vbyto: $0","Kills: $0","",""
"progress_unknown","???","???","",""
"progress_ending0","Doslidženo sekret unyzu - ","Discovered the secret below - ","",""
"progress_ending1","Doslidženo sekret zverxu - ","Discovered the secret above - ","",""
"progress_ending01","Doslidženo sekrety unyzu ta zverxu - ","Discovered the secrets above and below - ","",""
"status_wet","Mokristj","Wet","",""
"statusdesc_wet","Mokryj odjağ zaxyŝaje vas vid voğnju.","Wet clothes protect you from fire.","",""
"status_oiled","U nafti","Oiled ","",""
"statusdesc_oiled","Čerez naftu vy teper slyzjki ta leğkozajmysti.","Oil makes you slippery and more flammable.","",""
"status_bloody","Zakryvavlenyj ","Bloody ","",""
"statusdesc_bloody","Zakryvavlenyj odjağ zaxyŝaje vas vid voğnju.\nVy vidčuvajete pidvyŝenyj šans krytyčnyx udariv.","Bloody clothes protect you from fire.\nYou sense an increased chance of attaining critical hits.","",""
"status_slimy","V slyzu","Slimy","",""
"statusdesc_slimy","Odjağ v slyzu zaxyŝaje vas vid voğnju.\nSlyz uskladnjuje peresuvannja.","Slimy clothes protect you from fire.\nThe mucus makes moving around difficult.","",""
"status_radioactive","V toksynax","Toxic","",""
"statusdesc_radioactive","Toksyny na odjağu poviljno ponyžujutj vaše zdorov'ja.\nMokryj odjağ zaxyŝaje vas vid voğnju.\nMožna zmyty ridynamy.","Toxic sludge in your clothes makes your health degrade slowly.\nWet clothes protect you from fire.\nCan be washed off by liquids.","",""
"status_alcoholic","Sp’janinnja","Alcoholic","",""
"statusdesc_alcoholic","Vaš odjağ prosjaknutyj važkym zapaxom vypyvky.\nPryciljuvannja vže ne take leğke.\nA ŝe alkoğolj leğkozajmystyj!","Heavy scent of booze oozes of your clothes.\nAiming is disturbed.\nAnd alcohol is flammable!","",""
"status_poisoned","Otrujennja","Poisoned","",""
"statusdesc_poisoned","Otrujennja postupovo poğiršuje vaše zdorov’ja. ","A poisoning slowly degrades your health. ","",""
"status_teleportation","Teleportozys","Teleportation","",""
"statusdesc_teleportation","Vy nekontroljovano teleportujetesja čas vid času.","A teleport curse affects you.","",""
"status_hp_regeneration","Reğeneracija ","Regeneration ","",""
"statusdesc_hp_regeneration","Zakljattja reğeneraciï zdorov'ja vplyvaje na vas.","A health regeneration spell affects you.","",""
"status_polymorph","Polimorf","Polymorph","",""
"statusdesc_polymorph","Ty vivcja.","You're a sheep.","",""
"status_polymorph_random","Xaotyčnyj polimorf","Chaos polymorph","",""
"statusdesc_polymorph_random","Prokljattja polimorfa vplyvaje na vas.","A polymorph curse affects you.","",""
"status_berserk","Ljutj","Berserk","",""
"statusdesc_berserk","Prokljattja ljuti vplyvaje na vas.","A berserk curse affects you.","",""
"status_charm","Pryčaruvannja","Charmed","",""
"statusdesc_charm","Pryčaruvannja vplyvaje na vas.","A charm affects you.","",""
"status_invisibility","Nevydymistj","Invisible","",""
"statusdesc_invisibility","Mağična ridyna na tvojemu odjazi daje vam nevydymistj.\nZaklynannja porušujetjsja zabrudnennjam abo namokannjam odjağu.","The magical liquid on your clothes makes you invisible.\nThe spell is disturbed by stained or wet clothes.","",""
"status_on_fire","U voğni ","On fire ","",""
"statusdesc_on_fire","Vy ğoryte. Skoriš znajditj vodu!","You're on fire. Find some water!","",""
"boss_limbs_limb_attacker","Noğy pavuka","Spider leg","",""
"biome_boss_arena","Laboratoriï","The Laboratory","",""
"biome_boss_victoryroom","Tvoru","The Work","",""
"biome_coalmine","kopalenj","mines","",""
"biome_coalmine_alt","obvalenyx kopalenj","collapsed mines","",""
"biome_crypt","Xramu Mystectva","Temple of the Art","",""
"biome_desert","pusteli","Desert","",""
"biome_dragoncave","pečery drakona","Dragoncave","",""
"biome_ending_placeholder","Ğrobnyci Majstra Znakiv","Master Symbol Crypt","",""
"biome_excavationsite","vuğiljnyx kopalenj","Coal Pits","",""
"biome_fungicave","Ğrybnyx pečer","Fungal Caverns","",""
"biome_gold","Zoloto","Gold","",""
"biome_lake","Ozera","Lake","",""
"biome_lava","Vulkaničnoğo ozera","Volcanic Lake","",""
"biome_lavacave","Vulkaničnoï pečery","Volcanic Cave","",""
"biome_magic_gate","Svjatylyŝa","Sanctuary","",""
"biome_null","Nevidomosti","unknown","",""
"biome_pyramid","Piramidy","Pyramid","",""
"biome_rainforest","Pidzemnyx džunğliv","Underground Jungle","",""
"biome_sandcave","Piŝanoï pečery","Sandcave","",""
"biome_secret_entrance","Tajemnyčyx vorit","Mysterious Gate","",""
"biome_shop_room","Sekretnoğo mağazynu","Secret Shop","",""
"biome_snowcastle","Bazy Hiisi","Hiisi Base","",""
"biome_snowcave","Zasniženyx ğlybyn","Snowy Depths","",""
"biome_town_under","zvyvystyx proxodiv","twisty passages","",""
"biome_vault","Sxovyŝa","The Vault","",""
"biome_wandcave","Mağičnoğo xramu","magical temple","",""
"biome_water","Vody","water","",""
"biome_winter","Zasniženoï pustky","snowy wasteland","",""
"biome_holymountain","Svjatoï ğory","Holy Mountain","This is a reference to the Jodorowsky film 'Holy Mountain'",""
"biome_east","Sxidnoğo $0","East $0","",""
"biome_west","Zaxidnoğo $0","West $0","",""
"animal_player","Minä","Minä","doesn't need to be translated",""
"animal_boss_centipede_minion","Kolmisilmän apuri","Kolmisilmän apuri","doesn't need to be translated",""
"animal_boss_limbs","Kolmisilmän koipi","Kolmisilmän koipi","doesn't need to be translated",""
"animal_boss_dragon_endcrystal","Mato","Mato","doesn't need to be translated",""
"animal_lukki","Hämähäkki","Hämähäkki","doesn't need to be translated",""
"animal_lukki_creepy","Kasvoton Hämähäkki","Kasvoton Hämähäkki","doesn't need to be translated",""
"animal_lukki_creepy_long","Kasvoton Lukki","Kasvoton Lukki","doesn't need to be translated",""
"animal_lukki_longleg","Lukki","Lukki","doesn't need to be translated",""
"animal_acidshooter","Happonuljaska","Happonuljaska","doesn't need to be translated",""
"animal_alchemist","Puistokemisti","Puistokemisti","doesn't need to be translated",""
"animal_ant","Murkku","Murkku","doesn't need to be translated",""
"animal_assassin","Salamurhaajarobotti","Salamurhaajarobotti","doesn't need to be translated",""
"animal_barfer","Turvonnu velho","Turvonnu velho","doesn't need to be translated",""
"animal_bat","Lepakko","Lepakko","doesn't need to be translated",""
"animal_bigbat","Suurlepakko","Suurlepakko","doesn't need to be translated",""
"animal_bigfirebug","Suurtulikärpänen","Suurtulikärpänen","doesn't need to be translated",""
"animal_bigzombie","Mätänevä ruumis","Mätänevä ruumis","doesn't need to be translated",""
"animal_bigzombiehead","Mätänevä pää","Mätänevä pää","doesn't need to be translated",""
"animal_bigzombietorso","Mätänevä kroppa","Mätänevä kroppa","doesn't need to be translated",""
"animal_blob","Kiukkumöykky","Kiukkumöykky","doesn't need to be translated",""
"animal_bloodcrystal_physics","Verikristalli","Verikristalli","doesn't need to be translated",""
"animal_bloom","Puska","Puska","doesn't need to be translated",""
"animal_boss_dragon","Suomuhauki","Suomuhauki","doesn't need to be translated",""
"animal_chest_mimic","Matkija","Matkija","doesn't need to be translated",""
"animal_crystal_physics","Kirottu kristalli","Kirottu kristalli","doesn't need to be translated",""
"animal_darkghost","Haamu","Haamu","doesn't need to be translated",""
"animal_deer","Nelikoipi","Nelikoipi","doesn't need to be translated",""
"animal_drone","Lennokki","Lennokki","doesn't need to be translated",""
"animal_drone_physics","Lennokki","Lennokki","doesn't need to be translated",""
"animal_duck","Ankka","Ankka","doesn't need to be translated",""
"animal_eel","Nahkiainen","Nahkiainen","doesn't need to be translated",""
"animal_elk","Poro","Poro","doesn't need to be translated",""
"animal_firebug","Pikkutulikärpänen","Pikkutulikärpänen","doesn't need to be translated",""
"animal_firemage","Eldari","Eldari","doesn't need to be translated",""
"animal_firemage_weak","Stendari","Stendari","doesn't need to be translated",""
"animal_fireskull","Liekkiö","Liekkiö","doesn't need to be translated",""
"animal_fish","Eväkäs","Eväkäs","doesn't need to be translated",""
"animal_fish_large","Suureväkäs","Suureväkäs","doesn't need to be translated",""
"animal_flamer","Liekkari","Liekkari","doesn't need to be translated",""
"animal_fly","Amppari","Amppari","doesn't need to be translated",""
"animal_frog","Konna","Konna","doesn't need to be translated",""
"animal_fungus","Laahustussieni","Laahustussieni","doesn't need to be translated",""
"animal_gazer","Helvetinkatse","Helvetinkatse","doesn't need to be translated",""
"animal_ghost","Houre","Houre","doesn't need to be translated",""
"animal_ghoul","Sylkyri","Sylkyri","doesn't need to be translated",""
"animal_giant","Hiidenkivi","Hiidenkivi","doesn't need to be translated",""
"animal_giantshooter","Äitinuljaska","Äitinuljaska","doesn't need to be translated",""
"animal_healerdrone_physics","Korjauslennokki","Korjauslennokki","doesn't need to be translated",""
"animal_icer","Jäähdytyslaite","Jäähdytyslaite","doesn't need to be translated",""
"animal_iceskull","Jäätiö","Jäätiö","doesn't need to be translated",""
"animal_lasershooter","Mulkkio","Mulkkio","doesn't need to be translated",""
"animal_longleg","Hämis","Hämis","doesn't need to be translated",""
"animal_slimeshooter","Limanuljaska","Limanuljaska","doesn't need to be translated",""
"animal_slimeshooter_boss_limbs","Äitilimanuljaska","Äitilimanuljaska","doesn't need to be translated",""
"animal_maggot","Toukka","Toukka","doesn't need to be translated",""
"animal_mimic_physics","Matkija","Matkija","doesn't need to be translated",""
"animal_miner","Tappurahiisi","Tappurahiisi","doesn't need to be translated",""
"animal_miner_weak","Tappurahiisiläinen","Tappurahiisiläinen","doesn't need to be translated",""
"animal_miner_fire","Tulihiisi","Tulihiisi","doesn't need to be translated",""
"animal_miner_santa","Jouluhiisi","Jouluhiisi","doesn't need to be translated",""
"animal_mine_scavenger","Miina","Miina","doesn't need to be translated",""
"animal_miniblob","Möykky","Möykky","doesn't need to be translated",""
"animal_missilecrab","Heinäsirkka","Heinäsirkka","doesn't need to be translated",""
"animal_pebble","Lohkare","Lohkare","doesn't need to be translated",""
"animal_pebble_player","Toveri lohkare","Toveri lohkare","doesn't need to be translated",""
"animal_phantom_a","Spiraalikalma","Spiraalikalma","doesn't need to be translated",""
"animal_phantom_b","Kiukkukalma","Kiukkukalma","doesn't need to be translated",""
"animal_playerghost","Kummitus","Kummitus","doesn't need to be translated",""
"animal_rat","Rotta","Rotta","doesn't need to be translated",""
"animal_roboguard","Robottikyttä","Robottikyttä","doesn't need to be translated",""
"animal_scavenger_clusterbomb","Isohiisi","Isohiisi","doesn't need to be translated",""
"animal_scavenger_grenade","Kranuhiisi","Kranuhiisi","doesn't need to be translated",""
"animal_scavenger_heal","Parantajahiisi","Parantajahiisi","doesn't need to be translated",""
"animal_scavenger_leader","Toimari","Toimari","doesn't need to be translated",""
"animal_scavenger_mine","Miinankylväjä","Miinankylväjä","doesn't need to be translated",""
"animal_scavenger_poison","Myrkkyhiisi","Myrkkyhiisi","doesn't need to be translated",""
"animal_scavenger_smg","Rynkkyhiisi","Rynkkyhiisi","doesn't need to be translated",""
"animal_scorpion","Skorpioni","Skorpioni","doesn't need to be translated",""
"animal_sheep","Lammas","Lammas","doesn't need to be translated",""
"animal_sheep_bat","Lentolammas","Lentolammas","doesn't need to be translated",""
"animal_sheep_fly","Suhiseva lammas","Suhiseva lammas","doesn't need to be translated",""
"animal_shooterflower","Plasmakukka","Plasmakukka","doesn't need to be translated",""
"animal_shotgunner_weak","Heikko haulikkohiisi","Heikko haulikkohiisi","doesn't need to be translated",""
"animal_shotgunner","Haulikkohiisi","Haulikkohiisi","doesn't need to be translated",""
"animal_skullfly","Kallokärpänen","Kallokärpänen","doesn't need to be translated",""
"animal_skullrat","Kallorotta","Kallorotta","doesn't need to be translated",""
"animal_sniper","Snipuhiisi","Snipuhiisi","doesn't need to be translated",""
"animal_spitmonster","Helvetin sylkijä","Helvetin sylkijä","doesn't need to be translated",""
