"","ukr","en","","","NOTES – use \n for newline","max length"
"stat_cause_of_death","Причина смерті: '$0'","Cause of death: '$0'","","","",""
"stat_best","(Найбільше: $0)","(Best: $0)","","","",""
"credits_music","З музикою від Grotto та Niilo Takalainen","With music by From Grotto and Niilo Takalainen","","","",""
"credits_sounddesign","Звуковий дизайн Niilo Takalainen","Sound design by Niilo Takalainen","","","",""
"credits_fmod","Noita використовує FMOD Studio від Firelight Technologies Pty Ltd","Noita uses FMOD Studio by Firelight Technologies Pty Ltd","","","",""
"credits_copyright","Noita (c) Nolla Games Oy 2019","Noita (c) Nolla Games Oy 2019","","","",""
"progress_perks","Здібності","Perks","","","",""
"progress_actions","Заклинання","Spells","","","",""
"progress_secrets","Секрети","Secrets","","","",""
"progress_enemies","Вороги","Enemies","","","",""
"progress_unlocked","Розблокування","Unlocks","","","",""
"progress_completed","$0 $1 секрет(ів) знайдено","$0 $1 secret(s) found","","","",""
"progress_kills","Вбивств: $0","Kills: $0","","","",""
"progress_unknown","???","???","","","",""
"progress_ending0","Досліджений секрет знизу -","Discovered the secret below -","","","",""
"progress_ending1","Досліджений секрет зверху -","Discovered the secret above -","","","",""
"progress_ending01","Досліджені секрети знизу та зверху -","Discovered the secrets above and below -","","","",""
"status_wet","Мокрий","Wet","","","",""
"statusdesc_wet","Мокрий одяг захищає вас від вогню.","Wet clothes protect you from fire.","","","",""
"status_oiled","В нафті","Oiled","","","",""
"statusdesc_oiled","Нафта робить вас слизьким та легкозаймистим.","Oil makes you slippery and more flammable.","","","",""
"status_bloody","Закривавлений","Bloody","","","",""
"statusdesc_bloody","Закривавлений одяг захищає вас від вогню.\nВи відчуваєте підвищений шанс критичних ударів.","Bloody clothes protect you from fire.\nYou sense an increased chance of attaining critical hits.","","","",""
"status_slimy","В слизу","Slimy","","","",""
"statusdesc_slimy","Одяг в слизу одяг захищає вас від вогню.\nСлиз ускладнює пересування.","Slimy clothes protect you from fire.\nThe mucus makes moving around difficult.","","","",""
"status_radioactive","В токсинах","Toxic","","","",""
"statusdesc_radioactive","Токсини на одягу повільно понижують ваше здоров'я.\nМокрий одяг захищає вас від вогню.\nМоже бути змитий рідинами.","Toxic sludge in your clothes makes your health degrade slowly.\nWet clothes protect you from fire.\nCan be washed off by liquids.","","","",""
"status_alcoholic","Алкоголь","Alcoholic","","","",""
"statusdesc_alcoholic","Твій одяг просякнутий важким запахом випивки.\nПрицілювання вже не таке легке.\nТа алкоголь легкозаймистий!","Heavy scent of booze oozes of your clothes.\nAiming is disturbed.\nAnd alcohol is flammable!","","","",""
"status_poisoned","Отруєння","Poisoned","","","",""
"statusdesc_poisoned","Отруєння повільно принижує здоров'я.","A poisoning slowly degrades your health.","","","",""
"status_teleportation","Teleportitis","Teleportation","","","",""
"statusdesc_teleportation","You teleport uncontrollably every now and then.","A teleport curse affects you.","","","",""
"status_hp_regeneration","Регенерація","Regeneration","","","",""
"statusdesc_hp_regeneration","Закляття регенерації здоров'я впливає на вас.","A health regeneration spell affects you.","","","",""
"status_polymorph","Поліморф","Polymorph","","","",""
"statusdesc_polymorph","Ти вівця.","You're a sheep.","","","",""
"status_polymorph_random","Хаотичний поліморф","Chaos polymorph","","","",""
"statusdesc_polymorph_random","Прокляття поліморфа впливає на вас.","A polymorph curse affects you.","","","",""
"status_berserk","Безумство","Berserk","","","",""
"statusdesc_berserk","На вас впливає прокляття берсерка.","A berserk curse affects you.","","","",""
"status_charm","Зачарований","Charmed","","","",""
"statusdesc_charm","Ефект зачарування впливає на вас.","A charm affects you.","","","",""
"status_invisibility","Невидимість","Invisible","","","",""
"statusdesc_invisibility","Магічна рідина на одязі робить вас невидимим.\nЗаклинання порушується забрудненим або мокрим одягом.","The magical liquid on your clothes makes you invisible.\nThe spell is disturbed by stained or wet clothes.","","","",""
"status_on_fire","У вогні","On fire","","","",""
"statusdesc_on_fire","Ви в вогні. Знайдіть воду!","You're on fire. Find some water!","","","",""
"boss_limbs_limb_attacker","Ноги павука","Spider leg","","","",""
"biome_boss_arena","Лабораторії","The Laboratory","","","",""
"biome_boss_victoryroom","Праці","The Work","","","",""
"biome_coalmine","Копалень","mines","","","",""
"biome_coalmine_alt","Обвалених копалень","collapsed mines","","","",""
"biome_crypt","Храм Мистецтва","Temple of the Art","","","",""
"biome_desert","Пустелі","Desert","","","",""
"biome_dragoncave","Печери дракона","Dragoncave","","","",""
"biome_ending_placeholder","Master Symbol Crypt","Master Symbol Crypt","","","",""
"biome_excavationsite","Вугільних копалень","Coal Pits","","","",""
"biome_fungicave","Грибних печер","Fungal Caverns","","","",""
"biome_gold","Золото","Gold","","","",""
"biome_lake","Озера","Lake","","","",""
"biome_lava","Вулканічного озера","Volcanic Lake","","","",""
"biome_lavacave","Вулканічної печери","Volcanic Cave","","","",""
"biome_magic_gate","Святилища","Sanctuary","","","",""
"biome_null","Невідомості","unknown","","","",""
"biome_pyramid","Піраміди","Pyramid","","","",""
"biome_rainforest","Підземних джунглів","Underground Jungle","","","",""
"biome_sandcave","Піщаної печери","Sandcave","","","",""
"biome_secret_entrance","Таємничих воріт","Mysterious Gate","","","",""
"biome_shop_room","Секретного магазину","Secret Shop","","","",""
"biome_snowcastle","Бази Hiisi","Hiisi Base","","","",""
"biome_snowcave","Снігових глибин","Snowy Depths","","","",""
